"_key","ingredient_name"
"caffeine","caffeine"
"astaxanthin","astaxanthin"
"pomegranate","pomegranate"
"avocado","avocado"
"ginseng","ginseng"
"aloe-vera","aloe vera"
"vitamin-B","vitamin B"
"squalane","squalane"
"moringa","moringa"
"vitamin-E","vitamin E"
"hyaluronic-acid","hyaluronic acid"
"glycerin","glycerin"
"butylene-glycol","butylene glycol"
"lecithin","lecithin"
"vitamin-C","vitamin C"
"salicylic-acid","salicylic acid"
"octinoxate","octinoxate"
"algae","algae"
"retinyl","retinyl"
"amino-acids","amino acids"
"charcoal","charcoal"
"citric-acid","citric acid"
